date;weekday_name;holiday_name
01/01/2021;sexta-feira;Ano Novo
25/01/2021;segunda-feira;Aniversário da Cidade
15/02/2021;segunda-feira;Carnaval
16/02/2021;terça-feira;Carnaval
26/03/2021;sexta-feira;Antecipação Corpus Christi
29/03/2021;segunda-feira;Antecipação Consc. Negra
30/03/2021;terça-feira;Antecipação Aniversário
31/03/2021;quarta-feira;Antecipação Corpus Christi
01/04/2021;quinta-feira;Antecipação Consc. Negra
02/04/2021;sexta-feira;Sexta-Feira Santa
21/04/2021;quarta-feira;Dia de Tiradentes
01/05/2021;sábado;Dia do Trabalho
03/06/2021;quinta-feira;Corpus Christi
09/07/2021;sexta-feira;Revolução Constitucionalista
07/09/2021;terça-feira;Independência do Brasil
12/10/2021;terça-feira;Nossa Senhora Aparecida
15/10/2021;sexta-feira;Dia do Professor (Facultativo)
28/10/2021;quinta-feira;Dia do Servidor Público (Facultativo)
02/11/2021;terça-feira;Dia de Finados
15/11/2021;segunda-feira;Proclamação da República
25/12/2021;sábado;Natal
